Nacionalna šifra zdravila;Ime zdravila;ATC;Naziv ATC;Lista;Omejitev predpisovanja in izdajanja v breme javnih sredstev;Datum prièetka veljavnosti
001392;Adalat OROS 30 mg tbl.s podaljš.sprošè.28x;C08CA05;nifedipin;P70;;1.6.2012
001422;TARKA 180 mg/2 mg tbl.s podaljš.sprošè. 28x;C09BB10;trandolapril in verapamil;VC;;27.5.2016
001481;Yasminelle 0,02 mg/3 mg film.obl.tbl. 21x;G03AA12;drospirenon in estrogen;PC100;;27.5.2016
001538;Adalat OROS 60 mg tbl.s podaljš.sprošè.28x;C08CA05;nifedipin;P70;;1.6.2012
001554;HYZAAR 50 mg/12,5 mg film.obl.tbl. 28x;C09DA01;losartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
001597;Diprosalic 0,5 mg/20 mg v 1 g dermal.razt. 100 ml;D07XC01;betametazon;PC70;;27.5.2016
001627;Diprosalic 0,5 mg/30 mg v 1 g mazilo 50 g;D07XC01;betametazon;PC70;;27.5.2016
001643;Elocom 1 mg/g krema 50 g;D07AC13;mometazon;PC70;;27.5.2016
001678;Elocom 1 mg/g dermal.razt.100 ml;D07AC13;mometazon;P70;;1.6.2012
001686;Insulatard Penfill 100 i.e./ml susp.za inj. vložek 3 ml 5x;A10AC01;humani insulin;P100;;22.5.2009
001694;Elocom 1 mg/g mazilo 50 g;D07AC13;mometazon;PC70;;27.5.2016
001791;Activelle 1 mg/0,5 mf film.obl.tbl. 28x;G03FA01;noretisteron in estrogen;V;;16.7.1999
001848;Ortanol 20 mg trde kaps. 14x;A02BC01;omeprazol;VC;;27.5.2016
001937;FRAXIPARINE 2850 i.e.AXa/0,3 ml inj.brizga 10x;B01AB06;nadroparin;P70;;1.6.2012
001953;LACRYVISC 3 mg/g gel za oko 10 g;S01XA20;umetne solze in druga nevtralna zdravila;V*;Samo za zdravljenje keratokonjunktivitis sicca. V pooperativnem obdobju in zdravljenju poškodb oèesa pa za dobo najveè do enega meseca.;13.12.2004
001996;FRAXIPARINE 5700 i.e.AXa/0,6 ml inj.brizga 10x;B01AB06;nadroparin;P70;;1.6.2012
002020;ALENAX 70 mg tbl. 4x;M05BA04;alendronska kislina;V*;Predpisovanje mora biti v skladu s slovenskimi smernicami za zdravljenje osteoporoze.;31.3.2016
002054;Rifater 50 mg/120 mg/300 mg obl.tbl. 100x;J04AM05;rifampicin, pirazinamid in izoniazid;P100;;22.5.2009
002070;TAFEN NASAL 50 mcg/odmerek pršilo za nos 200 odm.;R01AD05;budezonid;PC70;;27.5.2016
002232;Rifinah 150 mg/100 mg obl.tbl. 84x;J04AM02;rifampicin in izoniazid;P100;;22.5.2009
002240;Rifinah 300 mg/150 mg obl.tbl. 56x;J04AM02;rifampicin in izoniazid;P100;;22.5.2009
002267;Granisetron Lek 2 mg film.obl.tbl. 5x;A04AA02;granisetron;PC70;;27.5.2016
002283;FRAXIPARINE 7600 i.e.AXa/0,8 ml inj.brizga 10x;B01AB06;nadroparin;P70;;1.6.2012
002356;FLAREX 1 mg/ml kapljice za oko susp.5 ml;S01BA07;fluorometolon;P70;;1.6.2012
002402;Monopril 10 mg tbl. 28x;C09AA09;fozinopril;VC;;27.5.2016
002410;Monopril 20 mg tbl. 28x;C09AA09;fozinopril;VC;;27.5.2016
002550;SUMAMED za otroke 20 mg/ml prašek za peroral.susp. 20 ml;J01FA10;azitromicin;P70*;Ni antibiotik izbire za zdravljenje akutnega vnetja srednjega ušesa, vnetja obnosnih votlin, streptokoknega tonzilofaringitisa, za vnetje kože (npr. akne) in podkožja. zanje ga je mogoèe predpisati le v primeru preobèutljivosti za antibiotik izbire, kadar je indicirano zdravljenje z antibiotikom.;1.6.2012
002577;Sumamed 125 mg film.obl.tbl. 6x;J01FA10;azitromicin;P70*;Ni antibiotik izbire za zdravljenje akutnega vnetja srednjega ušesa, vnetja obnosnih votlin, streptokoknega tonzilofaringitisa, za vnetje kože (npr. akne) in podkožja. zanje ga je mogoèe predpisati le v primeru preobèutljivosti za antibiotik izbire, kadar je indicirano zdravljenje z antibiotikom.;1.6.2012
002593;Sumamed 500 mg film.obl.tbl. 3x;J01FA10;azitromicin;PC70*;Ni antibiotik izbire za zdravljenje akutnega vnetja srednjega ušesa, vnetja obnosnih votlin, streptokoknega tonzilofaringitisa, za vnetje kože (npr. akne) in podkožja. zanje ga je mogoèe predpisati le v primeru preobèutljivosti za antibiotik izbire, kadar je indicirano zdravljenje z antibiotikom.;27.5.2016
002623;NovoNorm 0,5 mg tbl. 90x;A10BX02;repaglinid;PC100;;27.5.2016
002631;NovoNorm 1 mg tbl. 90x;A10BX02;repaglinid;PC100;;27.5.2016
002658;NovoNorm 2 mg tbl. 90x;A10BX02;repaglinid;PC100;;27.5.2016
002666;COSOPT 20 mg/5 mg v 1 ml kaplj.za oko razt. z OCUMETER PLUS kapal.plasten. 5 ml;S01ED51;timolol, kombinacije;PC70;;27.5.2016
002704;Amiokordin 200 mg tbl. 60x;C01BD01;amjodaron;P70;;1.6.2012
002712;Calpol 120 mg/5 ml peroral.susp.140 ml;N02BE01;paracetamol;P70;;1.6.2012
002739;Calpol 250 mg/ 5 ml peroral.susp.100 ml;N02BE01;paracetamol;V;;1.8.2012
002836;IntronA 60 mio i.e. inj.peresnik 1x;L03AB05;interferon alfa-2b;P100*;Predpisovanje omejeno na hematologe, interniste onkologe in infektologe.;1.10.2014
002844;IntronA 18 mio i.e. inj.peresnik 1x;L03AB05;interferon alfa-2b;P100*;Predpisovanje omejeno na hematologe, interniste onkologe in infektologe.;1.10.2014
002879;ALDIZEM 60 mg tbl. 30x;C08DB01;diltiazem;P70;;1.6.2012
002925;ALDIZEM 90 mg tbl. 30x;C08DB01;diltiazem;P70;;1.6.2012
002950;Tonocardin 2 mg tbl. 90 x;C02CA04;doksazosin;VC;;27.5.2016
003018;Mixtard 30 Penfill 100 i.e./ml susp.za inj. vložek 3 ml 5x;A10AD01;humani insulin;P100;;22.5.2009
003050;Elderin 300 mg film.obl.tbl. 20x;M01AB08;etodolak;V;;12.6.2006
003077;RISPERDAL 1 mg/ml peroral.razt.100 ml;N05AX08;risperidon;PC100;;27.5.2016
003115;KAPTOPRIL ALKALOID-INT 25 mg tbl. 40x;C09AA01;kaptopril;VC;;27.5.2016
003123;Enap-H 10 mg/25 mg tbl. 20x;C09BA02;enalapril in diuretiki;PC70;;27.5.2016
003140;Tonocardin 4 mg tbl. 90 x;C02CA04;doksazosin;VC;;27.5.2016
003166;ROFERON-A 6 mio i.e./0,5 ml inj.brizga 1x;L03AB04;interferon alfa-2a;P100*;Predpisovanje omejeno na hematologe, interniste onkologe in infektologe.;1.10.2014
003239;SINGULAIR 10 mg film.obl.tbl. 28x;R03DC03;montelukast;VC*;Predpisovanje omejeno na bolnike z zmerno in hudo astmo kot dodatna terapija k inh. zdravilom, kadar privede do dokumentiranega izboljšanja urejenosti ali zmanjšanja odmerkov inh. glukokortikoidov (IG). Bolnike z blago astmo pa je možno zdraviti najveè z enim prepreèevalcem, ali IG ali levkotrienskim antagonistom. Pri vseh bolnikih z astmo je potreben preizkus uèinkovitosti zdravljenja in dokumentirano spremljanje kazalcev urejenosti astme.;27.5.2016
003255;Accolate 20 mg film.obl.tbl. 56x;R03DC01;zafirlukast;V*;Predpisovanje omejeno na bolnike z zmerno in hudo astmo kot dodatna terapija k inh. zdravilom, kadar privede do dokumentiranega izboljšanja urejenosti ali zmanjšanja odmerkov inh. glukokortikoidov (IG). Bolnike z blago astmo pa je možno zdraviti najveè z enim prepreèevalcem, ali IG ali levkotrienskim antagonistom. Pri vseh bolnikih z astmo je potreben preizkus uèinkovitosti zdravljenja in dokumentirano spremljanje kazalcev urejenosti astme.;1.8.2012
003263;SINGULAIR 5 mg žveèlj.tbl. 28x;R03DC03;montelukast;PC70*;Predpisovanje omejeno na bolnike z zmerno in hudo astmo kot dodatna terapija k inh. zdravilom, kadar privede do dokumentiranega izboljšanja urejenosti ali zmanjšanja odmerkov inh. glukokortikoidov (IG). Bolnike z blago astmo pa je možno zdraviti najveè z enim prepreèevalcem, ali IG ali levkotrienskim antagonistom. Pri vseh bolnikih z astmo je potreben preizkus uèinkovitosti zdravljenja in dokumentirano spremljanje kazalcev urejenosti astme.;27.5.2016
003301;Pentasa 500 mg tbl.s podaljš.sprošè. 100x;A07EC02;mesalazin;P70;;1.6.2012
003360;TOBRADEX 1 mg/ml/ 3 mg/ml kapljice za oko susp. 5 ml;S01CA01;deksametazon in protimikrobne uèinkovine;V;;19.12.2006
003379;TOBRADEX 1 mg/3 mg v 1 g mazilo za oko 3,5 g;S01CA01;deksametazon in protimikrobne uèinkovine;V;;19.12.2006
003549;Detrunorm 15 mg obl.tbl. 28x;G04BD06;propiverin;V*;Samo na osnovi izvida urologa, ginekologa ali nevrologa s priporoèilom za predpis zdravila.;12.1.2003
003565;Aprovel 150 mg tbl. 28x;C09CA04;irbesartan;VC*;1. Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke. 2. Kot druga izbira zdravljenja ali  v  kombinaciji z zaviralci angiotenzinske konvertaze za bolnike s kronièno ledvièno boleznijo.;27.5.2016
003581;Aprovel 300 mg tbl. 28x;C09CA04;irbesartan;VC*;1. Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke. 2. Kot druga izbira zdravljenja ali  v  kombinaciji z zaviralci angiotenzinske konvertaze za bolnike s kronièno ledvièno boleznijo.;27.5.2016
003611;Seroquel 25 mg film.obl.tbl. 60x;N05AH04;kvetiapin;PC100;;27.5.2016
003638;Seroquel 100 mg film.obl.tbl. 60x;N05AH04;kvetiapin;PC100;;27.5.2016
003646;Seroquel 200 mg film.obl.tbl. 60x;N05AH04;kvetiapin;PC100;;27.5.2016
003689;NeoRecormon 500 i.e. inj.brizga 0,3 ml 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
003697;Haldol 10 mg/ml peroral.kapljice razt. 30 ml;N05AD01;haloperidol;P100;;22.5.2009
003700;NeoRecormon 2.000 i.e. inj.brizga 0,3 ml 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
003727;NeoRecormon 5.000 i.e. inj.brizga 0,3 ml 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
003735;DABROSTON 10 mg tbl. 30x;G03DB01;didrogesteron;P100;;22.5.2009
003743;Atimos 12 mcg/sprožitev inh.razt. pod tlakom 100 odm.;R03AC13;formoterol;P70;;1.6.2012
003751;NeoRecormon 10.000 i.e. inj.brizga 0,6 ml 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
003832;MOVALIS 15 mg tbl. 20x;M01AC06;meloksikam;V;;30.11.2015
003883;Micardis 80 mg tbl. 28x;C09CA07;telmisartan;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
003891;Micardis 40 mg tbl. 28x;C09CA07;telmisartan;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
004308;EXJADE 125 mg tbl.za peroral.susp. 28x;V03AC03;deferasiroks;P70;;1.6.2012
004480;Ospen 750 000 i.e./5 ml peroral.susp. 60 ml;J01CE10;benzatinijev fenoksimetilpenicilinat;P70;;1.6.2012
004561;NovoRapid FlexPen 100 enot/ml razt.za inj.peresnik 3 ml 5x;A10AB05;insulin aspart;P100;;22.5.2009
004600;EXJADE 500 mg tbl. za peroral.susp. 28x;V03AC03;deferasiroks;P70;;1.6.2012
004707;Dilatrend 6,25 mg tbl. 28x;C07AG02;karvedilol;PC70;;27.5.2016
004715;Dilatrend 12,5 mg tbl. 28x;C07AG02;karvedilol;PC70;;27.5.2016
004790;Megace 40 mg/ml peroral.susp. 240 ml;L02AB01;megestrol;P100*;Za bolnice z napredovalim rakom dojke. za bolnice z rakom endometrija in za paliativno oskrbo onkoloških bolnikov s sindromom anoreksija - kaheksija.;22.5.2009
004855;Amyzol 25 mg tbl. 30x;N06AA09;amitriptilin;P70;;1.6.2012
004928;PRITOR 80 mg tbl. 28x;C09CA07;telmisartan;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
004944;PRITOR 40 mg tbl. 28x;C09CA07;telmisartan;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
004979;Comtan 200 mg film.obl.tbl. 30x;N04BX02;entakapon;V;;1.1.2000
005290;EDRONAX 4 mg tbl. 60x;N06AX18;reboksetin;P70;;1.6.2012
005371;Tertensif SR 1,5 mg film.obl.tbl. s podaljš.sprošè.30x;C03BA11;indapamid;PC70;;27.5.2016
005550;Truvada 200 mg/245 mg film.obl.tbl. 30x;J05AR03;dizoproksiltenofovirat in emtricitabin;P100;;23.6.2010
005738;Coryol 12,5 mg tbl. 28x;C07AG02;karvedilol;PC70;;27.5.2016
005800;ROZAMET 10 mg/g krema 25 g;D06BX01;metronidazol;P70;;1.6.2012
005894;Augmentin 875 mg/125 mg film.obl.tbl. 10x;J01CR02;amoksicilin in zaviralci laktamaz beta;PC70*;Zdravila ni dovoljeno predpisovati za okužbe, povzroèene s piogenim streptokokom (angina, skarlatina, šen, impetigo).;27.5.2016
005967;Augmentin 400 mg/57 mg v 5 ml peroral.susp. okus jagoda 70 ml;J01CR02;amoksicilin in zaviralci laktamaz beta;PC70*;Zdravila ni dovoljeno predpisovati za okužbe, povzroèene s piogenim streptokokom (angina, skarlatina, šen, impetigo).;27.5.2016
006300;Coryol 25 mg tbl. 28x;C07AG02;karvedilol;PC70;;27.5.2016
006335;Letizen 10 mg film.obl.tbl. 20x;R06AE07;cetirizin;VC;;27.5.2016
006408;Plavix 75 mg film.obl.tbl. 28x;B01AC04;klopidogrel;VC*;Le za zdravljenje bolnikov: 1. s stabilno koronarno boleznijo po perkutani koronarni intervenciji (PCI) z metalno opornico (BMS) 1 mesec, z opornico z zdravilom (DES) 12 mesecev. 2. z nestabilno AP/NSTEMI z opornico ali brez 12 mesecev. 3. s STEMI brez akutne reperfuzije in po trombolizi 1 mesec, po PCI z BMS 1 mesec, z DES 12 mesecev. 4. po vstavitvi BMS v drugih arterijah 3 mesece. 5. v primeru zapore opornice po navodilu intervencijskega kardiologa, 6. za bolnike po ishemiènih žilnih dogodkih v primeru kontraindikacij za zdravljenje z acetilsalicilno kislino (dokazana aktivna peptièna razjeda, preobèutljivost in putika).;27.5.2016
006424;ZINNAT 250 mg/5 ml zrnca za peroral.susp.100 ml;J01DC02;cefuroksim;P70;;1.6.2012
006491;Ortanol 20 mg trde kaps. 28x;A02BC01;omeprazol;VC;;27.5.2016
006505;ZYPREXA 5 mg obl.tbl. 28x;N05AH03;olanzapin;PC100;;27.5.2016
006572;ZYPREXA 10 mg obl.tbl. 28x;N05AH03;olanzapin;PC100;;27.5.2016
006629;Androcur 50 mg tbl. 50x;G03HA01;ciproteron;P70;;1.6.2012
006661;Combivir 150 mg/300 mg film.obl.tbl. 60x;J05AR01;zidovudin in lamivudin;P100;;22.5.2009
006742;Angised 0,5 mg podjezièna tbl. 100x;C01DA02;gliceriltrinitrat;P70;;1.6.2012
006785;Ansilan 10 mg trde kaps. 25x;N05BA03;medazepam;V;;3.8.1996
006815;Ansilan 5 mg trde kaps. 30x;N05BA03;medazepam;V;;3.8.1996
006912;Apidra 100 i.e./ml razt.za inj. peresnik Solo Star 3 ml 5x;A10AB06;insulin glulizin;P100;;22.5.2009
007005;Pulmicort Turbuhaler 100 mcg/vdih prašek za inhal. 200 odm.;R03BA02;budezonid;P70;;1.6.2012
007056;Pulmicort Turbuhaler 200 mcg/vdih prašek za inhal. 100 odm.;R03BA02;budezonid;P70;;1.6.2012
007072;Lekoptin 40 mg obl.tbl. 30x;C08DA01;verapamil;P70;;1.6.2012
007188;Pulmicort Turbuhaler 400 mcg/vdih prašek za inhal. 100 odm.;R03BA02;budezonid;P70;;1.6.2012
007307;Tramundin 100 mg tbl.s podaljš.sprošè. 50x;N02AX02;tramadol;PC70;;27.5.2016
007358;Apaurin 2 mg obl.tbl. 30x;N05BA01;diazepam;P70;;1.6.2012
007382;Apaurin 5 mg obl.tbl. 30x;N05BA01;diazepam;P70;;1.6.2012
007404;ANATON 20 mg/12,5 mg tbl. 20x;C09BA02;enalapril in diuretiki;PC70;;27.5.2016
007471;NORVASC 5 mg tbl. 30x;C08CA01;amlodipin;PC70;;27.5.2016
007501;NORVASC 10 mg tbl. 30x;C08CA01;amlodipin;PC70;;27.5.2016
007668;MONOSAN 20 mg tbl. 30x;C01DA14;izosorbidmononitrat;V;;12.6.2006
007838;ROFERON-A 3 mio i.e./0,5 ml inj.brizga 1x;L03AB04;interferon alfa-2a;P100*;Predpisovanje omejeno na hematologe, interniste onkologe in infektologe.;1.10.2014
007889;Avelox 400 mg film.obl.tbl. 5x;J01MA14;moksifloksacin;PC70*;Predpisovanje omejeno na bolnike z doma pridobljeno pljuènico in KOPB, èe je zdravilo izbire neuspešno ali zdravljenje z njim ni mogoèe.;27.5.2016
007900;Betaferon 250 mcg/ml razt.za inj. 15x;L03AB08;interferon beta-1b;P100*;Zdravilo prvega reda za zdravljenje bolnikov z multiplo sklerozo na podlagi pisnega mnenja Nevrološkega konzilija UKC Ljubljana ali UKC Maribor.;8.12.2011
007927;Depakine chrono 300 mg tbl.s podaljš.sprošè.100x;N03AG01;valprojska kislina;P100;;22.5.2009
007943;Depakine chrono 500 mg tbl.s podaljš.sprošè.30x;N03AG01;valprojska kislina;P100;;22.5.2009
007951;DUROGESIC 100 mcg/h transdermal.obliž 5x;N02AB03;fentanil;PC70;;27.5.2016
008010;SPRYCEL 20 mg film.obl.tbl. 60x;L01XE06;dasatinib;P100*;Za zdravljenje odraslih bolnikov s kronièno mieloièno levkemijo s prisotnim kromosomom Philadelphia v kronièni fazi. le v drugi liniji zdravljenja v primeru neuèinkovitosti ali neprenašanja zdravil uporabljenih v prvi liniji zdravljenja in èe se pojavijo mutacije, odzivne na dasatinib. Zdravljenje pod nadzorom hematologa na osnovi odloèitve komisije hematološke klinike UKC Ljubljana.;17.4.2014
008087;DUROGESIC 25 mcg/h transdermal.obliž 5x;N02AB03;fentanil;PC70;;27.5.2016
008109;DUROGESIC 50 mcg/h transdermal.obliž 5x;N02AB03;fentanil;PC70;;27.5.2016
008133;EFECTIN ER 150 mg trde kaps.s podaljš.sprošè. 28x;N06AX16;venlafaksin;PC70*;Antidepresiv druge linije zdravljenja, kadar zdravljenje z zaviralci ponovnega privzema serotonina (SSRI) ni uspešno.;27.5.2016
008150;SPRYCEL 50 mg film.obl.tbl. 60x;L01XE06;dasatinib;P100*;Za zdravljenje odraslih bolnikov s kronièno mieloièno levkemijo s prisotnim kromosomom Philadelphia v kronièni fazi. le v drugi liniji zdravljenja v primeru neuèinkovitosti ali neprenašanja zdravil uporabljenih v prvi liniji zdravljenja in èe se pojavijo mutacije, odzivne na dasatinib. Zdravljenje pod nadzorom hematologa na osnovi odloèitve komisije hematološke klinike UKC Ljubljana.;17.4.2014
008184;EFECTIN ER 75 mg trde kaps.s podaljš.sprošè. 28x;N06AX16;venlafaksin;PC70*;Antidepresiv druge linije zdravljenja, kadar zdravljenje z zaviralci ponovnega privzema serotonina (SSRI) ni uspešno.;27.5.2016
008303;Cordarone 200 mg tbl. 60x;C01BD01;amjodaron;P70;;1.6.2012
008320;SPRYCEL 70 mg film.obl.tbl. 60x;L01XE06;dasatinib;P100*;Za zdravljenje odraslih bolnikov s kronièno mieloièno levkemijo s prisotnim kromosomom Philadelphia v kronièni fazi. le v drugi liniji zdravljenja v primeru neuèinkovitosti ali neprenašanja zdravil uporabljenih v prvi liniji zdravljenja in èe se pojavijo mutacije, odzivne na dasatinib. Zdravljenje pod nadzorom hematologa na osnovi odloèitve komisije hematološke klinike UKC Ljubljana.;17.4.2014
008389;Lamictal 5 mg disperz./žveè.tbl. 30x;N03AX09;lamotrigin;P100;;22.5.2009
008397;CoAprovel 300 mg/ 25 mg film.obl.tbl. 28;C09DA04;irbesartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
008400;ROFERON-A 4,5 mio i.e./0,5 ml inj.brizga 1x;L03AB04;interferon alfa-2a;P100*;Predpisovanje omejeno na hematologe, interniste onkologe in infektologe.;1.10.2014
008443;Exforge 5 mg/80 mg film.obl.tbl. 30x;C09DB01;valsartan in amlodipin;V*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;23.9.2009
008460;Exforge 5 mg/160 mg film.obl.tbl. 30x;C09DB01;valsartan in amlodipin;V*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;23.9.2009
008478;Exforge 10 mg/160 mg film.obl.tbl. 30x;C09DB01;valsartan in amlodipin;V*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;23.9.2009
008516;Logest 0,02 mg/0,075 mg obl.tbl. 21x;G03AA10;gestoden in estrogen;PC100;;27.5.2016
008699;REBETOL 200 mg trde kaps. 168x;J05AB04;ribavirin;P100*;Zdravilo sme indicirati le pooblašèeni specialist.;27.11.2014
008710;ReFacto AF 1000 i.e. razt.za inj.viala 1x;B02BD02;koagulacijski faktor VIII;P100*;Za zdravljenje in prepreèevanje krvavitev pri bolnikih s hemofilijo A. Zdravilo lahko predpisujejo na recept le pooblašèeni zdravniki.;30.5.2013
008729;ReFacto AF 250 i.e. razt.za inj.viala 1x;B02BD02;koagulacijski faktor VIII;P100*;Za zdravljenje in prepreèevanje krvavitev pri bolnikih s hemofilijo A. Zdravilo lahko predpisujejo na recept le pooblašèeni zdravniki.;2.4.2015
008737;ReFacto AF 500 i.e. razt.za inj.viala 1x;B02BD02;koagulacijski faktor VIII;P100*;Za zdravljenje in prepreèevanje krvavitev pri bolnikih s hemofilijo A. Zdravilo lahko predpisujejo na recept le pooblašèeni zdravniki.;30.5.2013
